1,6
2,6
3,6
4,6
5,8
6,7
7,9
8,10
9,15
10,7
11,8
12,8
13,8
14,6
15,8
16,7
17,9
18,6
19,8
20,6
21,5
22,7
23,6
24,5
25,5
26,5
27,5
28,5
29,5
30,4
31,4
32,5
33,5
34,5
35,5
36,6
37,7
38,9
39,8
40,6
41,7
42,6
43,8
44,8
45,6
46,6
47,11
48,5
49,11
50,6
51,10
52,13
53,5
54,8
55,5
56,5
57,5
58,5
59,5
60,5
61,9
62,9
63,8
64,7
65,7
66,6
67,6
68,7
69,7
70,7
71,7
72,7
73,4
74,11
75,4
76,11
77,11
78,11
79,7
80,4
81,4
82,4
83,4
84,5
85,4
86,5
87,4
88,4
89,4
90,5
91,4
92,4
93,7
94,11
95,4
96,7
97,7
98,11
99,7
100,7
101,7
102,7
103,8
104,7
105,7
106,7
107,7
108,7
109,7
110,11
111,7
112,7
113,7
114,7
115,8
116,8
117,8
118,7
119,7
120,7
121,7
122,7
123,7
124,7
125,8
126,8
